trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.66487164171338,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.5743491774985175}",30,0,-66.30717957528536,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.4152436465385057}",35,7,-31.222011431578235,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.32987697769322355}",30,9,-35.06119095075694,"{0: 16, 1: 2, 2: 1, 3: 2, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.27594593229224296}",20,8,-50.31426258341922,"{0: 7, 1: 2, 2: 1, 3: 2, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.23849484685087588}",25,3,-17.92448722981794,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.2108247373706503}",25,10,-34.52123695113484,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.18946457081379975}",20,0,-33.00578310496786,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.1724272859905955}",25,1,35.34675235699005,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.15848931924611132}",30,0,-5.282021836753578,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.14685402420019797}",20,6,23.28007622674228,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.13697931912643546}",25,0,39.67548038929958,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.12848289633344695}",25,0,-4.940164458851626,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.12108701450517395}",25,13,26.13032428032643,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.11458479517249857}",20,5,5.108082727540653,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.10881882041201552}",25,11,8.92920703275731,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.10366707928425392}",20,2,5.835526339281671,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09903346988700017}",30,22,12.073517462637387,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.094841217227218}",25,13,23.19500089284584,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.091028210151304}",25,9,-33.38843862005657,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.08754363272631162}",20,10,18.356155965093368,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.0843454880117311}",20,13,12.626789372890439,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.08139874915455901}",20,0,33.78894316227759,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.07867395927457514}",20,16,9.59445975246229,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.07614615754863513}",25,5,35.385307599348906,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.07379404583174254}",20,6,11.594182887544193,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.07159933499747269}",30,16,-13.154966478275721,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.06954622718679772}",25,8,6.773415308001145,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.0676210019811913}",25,14,22.447480222944822,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.06581168286116065}",25,11,26.799576007668133,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.06410776627949863}",25,8,30.728904245081946,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.062499999999999986}",30,22,15.241190605151212,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.060980200517744186}",20,0,-13.635700397681532,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.05954110172058484}",20,13,16.475275354930094,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.05817622870401136}",25,0,37.47986950541151,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.05687979197442274}",25,19,14.462487858645574,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.055646598283203154}",20,0,30.929427866571324,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.05447197510741089}",25,16,14.349646502682168,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.05335170639132932}",20,6,28.799266039727854,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.05228197762956365}",25,0,39.6393724622217,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.051259328738433765}",30,19,16.183580701196767,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.05028061345158937}",20,9,20.43652857929394,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.04934296420562553}",20,2,20.99834225779688,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.04844376166524882}",35,18,32.69372935636516,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.04758060818529608}",25,14,21.79305839339525,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.046751304626329114}",20,10,17.339650636038296,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.045953830037541825}",35,11,27.598518017812037,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.0451863237999041}",20,15,6.89296830474274,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.04444706988740366}",30,0,33.353400895314145,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.001}",20,8,17.759432017295197,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,9,19.91693576194393,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,3,37.5541110246782,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,8,23.066029488522634,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,23.21554519619756,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,17.58488056228454,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,9,16.98683857166015,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,11,28.084351810735697,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,7,30.15002465880402,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,16,7.287843045667019,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,9,18.930635619631904,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
