trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.97}",30,0,-96.56090076444379,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9149121528506678}",25,0,-136.4905786564746,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.763136037640663}",25,0,-112.46680456803031,"{0: 13, 1: 8, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.5518317407504664}",20,0,-137.6159814536199,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.33273392355378595}",20,0,-69.40752805140711,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.15948537300387983}",25,0,-172.27717029375907,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.07450337652979955}",25,0,-165.05069023797978,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.09859449071914167}",20,0,-119.75051000490886,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.22586037061137465}",20,0,-102.57100024823154,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4251418902561491}",25,0,-136.80965807244382,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.6476479834584519}",20,0,-84.70820124974105,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.838901398431067}",20,0,-47.87938079722709,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9520766289926648}",20,0,-142.47868131932424,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9594644315776106}",25,0,-123.2712801412825,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8592560144544871}",20,0,-57.01954816044909,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.6759858930257616}",25,0,-166.18289252601443,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.4545249847861239}",30,6,-124.9693203205178,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.24909464379182938}",20,0,-190.64854614503565,"{0: 6, 1: 2, 2: 7, 3: 4, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.10999138215189541}",35,0,-164.0319026982859,"{0: 22, 1: 2, 2: 8, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.07127252971162973}",25,0,-112.2772170131373,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-84.19209353514992,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,0,-323.93996103376173,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 6}",0
3,True,"{'a': 0, 'e': 0}",20,0,-65.3704344631347,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",35,0,-114.39133667337013,"{0: 21, 1: 4, 2: 8, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-77.27139966825625,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-29.674238075526976,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-114.86483399794693,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-89.63074807769216,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-81.03480296844607,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-73.47460918199204,"{0: 22, 1: 0, 2: 7, 3: 1, 4: 0}",0
