trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9994472213630764}",20,0,-100.99231541641446,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9990889488055994}",30,0,-85.26144872111442,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.998498817743263}",30,0,-47.84827872153395,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9975273768433653}",30,0,-122.41449460574606,"{0: 16, 1: 5, 2: 6, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.995929862284104}",25,0,-142.6012949676224,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9933071490757153}",25,0,-133.7082724721827,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9890130573694068}",20,0,-98.21474332312776,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9820137900379085}",30,0,-131.58097115067872,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9706877692486436}",25,0,-198.61970137987026,"{0: 11, 1: 0, 2: 10, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9525741268224334}",20,0,-141.35471135070566,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9241418199787566}",20,0,-87.43099686468085,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8807970779778823}",20,0,-132.18532242382645,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8175744761936437}",20,14,-14.893404652279095,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.7310585786300049}",20,0,-51.42382990386385,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.6224593312018546}",20,9,11.528555058977352,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.5}",20,0,-88.90286348424938,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.3775406687981454}",30,8,38.42805474820091,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.2689414213699951}",20,10,-21.744780629046865,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.18242552380635635}",25,7,-1.2989985823818289,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.11920292202211755}",20,8,20.552782781340788,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.07585818002124355}",20,13,-0.830888866527929,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,11,16.22332226861186,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,8,30.760622613258228,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,18,33.59259080766473,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,15,21.940382987459866,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,9,32.164142813946974,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,15,39.432779623065414,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,4,36.8526531400741,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,7,30.762395188966984,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,13,22.41438232913944,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,2,31.53797786462862,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
